label,X_proj,Y_proj,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best
1,4729931.607648016,2105242.1165291406,14.43013563202492,44.4079263072026,5.846876365019934,1055.0416549240429,3652.571528333137,203.02292146469256,0.0996802774490061,0.2478554192739498,1.0443492418541875,19.88520724811334
1,4729930.779153098,2105258.1558013638,14.468766352898696,44.40853391436199,5.839931409852159,1055.7652643089914,3652.169536269632,202.5782008721937,0.0996819054234031,0.2484429979027587,1.0442881826913732,19.88401297742357
1,4729718.80475589,2105286.4721559016,13.645701952294791,44.39460924343504,5.731535920047831,1049.731428014624,3645.3157917072094,201.3440676673185,0.0997057933381819,0.2445673617622171,1.0437289784640584,19.87587533686248
1,4729810.7896247925,2105295.3137220885,14.06689582227193,44.40152637114943,5.769807769923616,1053.4088052861634,3647.818581405879,201.33502657547075,0.0996973515937668,0.2473354534252743,1.043897948257274,19.877942965388865
1,4729884.75729362,2105321.2531179907,14.44904471761516,44.40787703447318,5.793047948144453,1057.203737618889,3649.365905909121,200.79621977344004,0.0996924737968346,0.2497465485313796,1.0439592633747024,19.87813837199649
1,4729816.8299065605,2105339.308269777,14.21755556013714,44.4037808798704,5.754504857984275,1055.6274266175133,3646.972881093589,200.1767182944546,0.0997009461842424,0.2491095998376175,1.0437464065052406,19.874854427465834
1,4729806.982484125,2105406.3648781423,14.3727425449087,44.405864215785456,5.722579123137357,1058.4049098651808,3645.1432095529767,198.43158593120916,0.0997082675563076,0.2513718889005054,1.0434751418218091,19.86960464229564
1,4729929.953829157,2105426.1521882997,14.926314849687772,44.41548568329181,5.77135263425903,1064.054935120061,3648.2507512496086,198.20834582800703,0.0996979187810241,0.2551659348687747,1.0436701443648455,19.87179600667232
1,4729863.010202207,2105440.222317784,14.700854094299103,44.41128321871746,5.734687488499065,1062.2365185383348,3646.000878487685,197.72540895166168,0.0997058405650078,0.25388198628723,1.0434740466039223,19.868814376907544
1,4729872.142421756,2105450.2529066987,14.76696377375826,44.41235621334158,5.734860345449047,1063.1009353541936,3646.037229072973,197.50178939079447,0.0997058681008781,0.2545580540123328,1.0434573273743528,19.86835784689087
