IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best,X,Y
Ocurrencia,Caldas,Villamaría,La Enea,4.942165,-75.43691,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,12.72886619348274,44.376614423445986,6.0877313668979705,1034.7656419590471,3666.6780866352674,225.34247858536074,0.0972704281945579,0.22739207000623268,1.0466930596613027,19.93214431270401,-75.43691,4.942165
Prospecto,Caldas,Villamaría,La Enea,4.946926,-75.438254,Oro-Au,Pirita-FeS2,Epitermal,ROCA_METAMÓRFICA,13.1759430962013,44.38765525270474,5.797320092226781,1043.0633871251875,3649.0248536157515,206.41150307598363,0.09969041176367344,0.2392607482365607,1.0443420425938776,19.88808956637273,-75.438254,4.946926
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947356,-75.435858,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.453109091554758,44.40845241724446,5.8983475524475475,1053.2624142241837,3655.662411382417,205.10508403722406,0.09966861853658661,0.2462547944175267,1.044709426814371,19.891640911945395,-75.435858,4.947356
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947456,-75.435867,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.476474197682327,44.40884367846789,5.893369461959471,1053.7411151619242,3655.3705037606287,204.78416520610276,0.0996697914185757,0.24664503414451272,1.0446666317901485,19.89081138637266,-75.435867,4.947456
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947529,-75.435299,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.754616804828302,44.41365372107032,5.918967519655313,1055.9459676068661,3656.9759948159804,204.61802943004272,0.09611881294409287,0.24820626571602064,1.0447592021054706,19.8917788662939,-75.435299,4.947529
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947628,-75.435561,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.66342968529757,44.4120490166422,5.901173232729834,1055.627771939093,3655.88911910804,204.27882397439944,0.09966835000731249,0.24805301162975169,1.0446630313505787,19.890278817387685,-75.435561,4.947628
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947744,-75.436598,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.218953035831245,44.40441840027189,5.843228643242757,1052.712374331545,3652.2779546166494,203.75297075354706,0.09968081925223903,0.24656167580227423,1.0443857018225626,19.886379988138838,-75.436598,4.947744
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947785,-75.438518,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,13.306944942717784,44.38949822176572,5.744367190645678,1045.8166142930413,3645.8979799858616,203.1197457822354,0.09970270994067491,0.24150253895572107,1.0439110560088392,19.879959131007922,-75.438518,4.947785
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947809,-75.435479,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.750295153638236,44.41353422249908,5.897217902985819,1056.8518637853113,3655.6743730934204,203.72432469583208,0.09966940640827138,0.24901253861653577,1.0446075129009291,19.88906196147659,-75.435479,4.947809
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947888,-75.436192,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.448743633585401,44.40828129414296,5.857341314169611,1054.8605309087463,3653.20370381293,203.37807651686862,0.09967793136422881,0.24767013160940307,1.0444183483143492,19.88640660294121,-75.436192,4.947888
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947889,-75.435751,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.650069339318206,44.4117613452502,5.879755221893296,1056.3731412340192,3654.604750739973,203.44262538810696,0.09967317622368034,0.24873016785769533,1.0445158380599457,19.887663760597597,-75.435751,4.947889
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.94793,-75.438184,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,13.516707939858762,44.39278843323278,5.754518616214378,1047.7508056534432,3646.626965820493,202.77102980931795,0.09970046838192283,0.24297782834772744,1.0439323571207781,19.879856767346137,-75.438184,4.94793
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947941,-75.437274,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,13.958550373475365,44.40000248540711,5.800009775327706,1051.24054590427,3649.57890409848,202.9890442320108,0.09969037987275721,0.24556252836356462,1.0441473443677058,19.882703588366393,-75.437274,4.947941
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947988,-75.436643,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.26933559135078,44.40518956700228,5.829890081041494,1053.7775936146427,3651.4976133557384,202.9852826719884,0.09968391753860938,0.24743394768579494,1.0442749557816438,19.884259886568444,-75.436643,4.947988
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947997,-75.436301,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.43013563202492,44.4079263072026,5.846876365019934,1055.0416549240429,3652.571528333137,203.02292146469256,0.09968027744900614,0.24785541927394988,1.0443492418541875,19.88520724811334,-75.436301,4.947997
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948142,-75.436309,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.468766352898697,44.40853391436199,5.839931409852159,1055.7652643089914,3652.169536269632,202.5782008721937,0.09968190542340313,0.24844299790275876,1.0442881826913732,19.88401297742357,-75.436309,4.948142
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948391,-75.438221,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,13.645701952294793,44.39460924343504,5.731535920047831,1049.731428014624,3645.3157917072094,201.34406766731854,0.09970579333818197,0.24456736176221716,1.0437289784640584,19.87587533686248,-75.438221,4.948391
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948474,-75.437392,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.06689582227193,44.40152637114943,5.769807769923616,1053.4088052861634,3647.818581405879,201.33502657547075,0.0996973515937668,0.2473354534252743,1.043897948257274,19.877942965388865,-75.437392,4.948474
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948711,-75.436726,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.44904471761516,44.40787703447318,5.793047948144453,1057.2037376188887,3649.365905909121,200.79621977344004,0.09969247379683463,0.24974654853137968,1.0439592633747024,19.878138371996492,-75.436726,4.948711
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948872,-75.437339,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.21755556013714,44.403780879870396,5.754504857984275,1055.6274266175133,3646.9728810935894,200.1767182944546,0.09970094618424247,0.2491095998376175,1.0437464065052406,19.874854427465834,-75.437339,4.948872
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949478,-75.43743,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.3727425449087,44.405864215785456,5.722579123137357,1058.4049098651808,3645.1432095529767,198.43158593120913,0.09970826755630767,0.2513718889005054,1.0434751418218091,19.86960464229564,-75.43743,4.949478
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949661,-75.436322,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.926314849687772,44.41548568329181,5.77135263425903,1064.054935120061,3648.2507512496086,198.20834582800703,0.0996979187810241,0.2551659348687747,1.0436701443648457,19.871796006672316,-75.436322,4.949661
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949786,-75.436926,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.700854094299105,44.41128321871746,5.734687488499065,1062.2365185383348,3646.000878487685,197.72540895166168,0.09970584056500788,0.25388198628723,1.0434740466039225,19.868814376907544,-75.436926,4.949786
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949877,-75.436844,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.76696377375826,44.41235621334158,5.7348603454490465,1063.1009353541936,3646.0372290729733,197.50178939079447,0.09970586810087814,0.2545580540123328,1.0434573273743528,19.86835784689087,-75.436844,4.949877
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950021,-75.436882,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.797662462877783,44.412725429060146,5.726503049293159,1063.7549439282423,3645.555733719054,197.1081946673258,0.09970776142925646,0.2551000307561897,1.0433898963155286,19.867074983447196,-75.436882,4.950021
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950045,-75.438333,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.153497608579043,44.40133965199534,5.650832099844947,1057.3314124601618,3640.7740374042423,196.59929219266854,0.09972428112653053,0.2506827624630722,1.043011643447685,19.861763605575643,-75.438333,4.950045
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.95036,-75.439019,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,13.951129771552026,44.39735976759338,5.601494638966513,1055.6482108887242,3637.727117530931,195.5069438842118,0.09973535649254148,0.24942454098143702,1.0426981677268248,19.856569345983544,-75.439019,4.95036
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950427,-75.437081,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.846713937864365,44.413038649232504,5.6982227185271315,1065.1961931769338,3643.9079472050885,195.9939649368509,0.09971409694990034,0.256327643637799,1.0431768840366527,19.863138026985474,-75.437081,4.950427
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950576,-75.439686,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,13.72246418577431,44.39306935348555,5.557591720412837,1053.3898768760748,3438.565980840072,194.6618316218731,0.09974529894592928,0.24767349937704314,1.0384265885113724,19.820116443628475,-75.439686,4.950576
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950632,-75.438902,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.1060442523269,44.39954315004161,5.595249459225304,1057.5756301877655,3637.449204051315,194.84727565738496,0.09973676326760099,0.2508247766370535,1.0426174058662894,19.854770115463772,-75.438902,4.950632
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.95067,-75.437712,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.65436914373868,44.40916183246386,5.654841396642016,1063.6110377571604,3641.265954684536,195.1811708668481,0.09972360362434352,0.2554959605090116,1.0429179194906384,19.85893648990921,-75.437712,4.95067
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.951012,-75.438732,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,14.325379771285256,44.40265115157051,5.586970795601372,1060.3834662434735,3637.0868701143545,193.95364860472372,0.09973863138372217,0.2530563961658797,1.0425074275594506,19.852303563697397,-75.438732,4.951012
