IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,X,Y
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948474,-75.437392,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437392,4.948474
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948711,-75.436726,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436726,4.948711
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948872,-75.437339,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437339,4.948872
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949478,-75.43743,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.43743,4.949478
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949661,-75.436322,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436322,4.949661
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949786,-75.436926,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436926,4.949786
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.949877,-75.436844,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436844,4.949877
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950021,-75.436882,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436882,4.950021
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950045,-75.438333,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438333,4.950045
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.95036,-75.439019,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.439019,4.95036
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.950427,-75.437081,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437081,4.950427
